participant_ID;text_ID;error;error_type;fb_type
AFJ1;AFJ1_1;si reciben ayuda personalizada (mientras) [durante] su detención;sust.;D.N.M
AFJ1;AFJ1_1;con (eso) [esto] quiero decir que;det.;D.N.M
AFJ1;AFJ1_2;me alegra (de) que huela un poco a puerto y a animales marinos;reg.;D.M.
AFJ1;AFJ1_2;no es la primera vez (en) esta semana;reg.;D.N.M
AFJ1;AFJ1_3;aunque conocemos (a) los beneficios que trae la globalización;reg.;D.M.
AMN1;AMN1_1;para reinsertarlos en (la misma sociedad) [ella];ana.;D.N.M
AMN1;AMN1_1;no (lo podía) [pudo hacerlo] porque mi tío estaba preso;sint.;D.N.M
AMN1;AMN1_1;(nadie) [ninguno] de ellos olvidará jamás la sensación;sust.;D.N.M
AMN1;AMN1_4;las personas que salen de la puerta infernal de la autoayuda suelen estar (ocupados) [ocupadas];gen.;D.M.
API1;API1_1;deberíamos respetar el derecho fundamental de cada persona para también (ofrecerles) [ofrecerle];núm.;D.N.M
API1;API1_4;no (hay) [existe la] buena alimentación;sust.;R
API1;API1_4;los hombres deben (ser) [estar] fuertes y definidos;sust.;D.M.
ARE1;ARE1_1;si han pasado años viviendo aislados en un lugar artificial, sin responsabilidad (ninguna) [alguna];sust.;D.N.M
ARE1;ARE1_2;cosa que nadie entendió en esta situación y (la) que iba a ser un tema de discusión;det.;D.N.M
ARE1;ARE1_2;un poblado de 800 personas que (es) [está] separado solo por un cerro;sust.;D.N.M
ASA1;ASA1_1;para la reinserción de los (antiguos delincuentes) [exconvictos];ana.;D.N.M
ASA1;ASA1_4;logró solucionar el caso antes (de) [que] la policía;reg.;D.M.
AZC1;AZC1_2;[en] la naturaleza suele estar la solución;reg.;R
AZC1;AZC1_2;en la naturaleza suele (ser) [estar] la solución;sust.;R
AZC1;AZC1_2;estos momentos (sólo) [solo] existen para ti;ort.;D.N.M
AZC1;AZC1_3;nos ayuda [a] mejorar la economía;reg.;D.N.M
AZC1;AZC1_4;ya puedes reservar entradas para (la publicación) [el estreno] en nuestra página web;sust.;D.N.M
CJK1;CJK1_2;"en este (papel) [trabajo] solo hablaré del ""Proyecto de los Cuatro Ríos Principales""";sust.;D.N.M
CJK1;CJK1_4;(el exceso de normalidad) [generalizar en exceso] siempre es una mala idea;sust.;R
EKE1;EKE1_3;incluyendo el capital (monetaria, informática y humana) [monetario, informático y humano];gen.;D.N.M
FLL1;FLL1_2;¡por mi princesa haré hasta (el) [lo] imposible!;det.;D.N.M
FLL1;FLL1_3;las riquezas y las repercusiones que (tuvó) [tuvo] la Revolución Industrial;ort.;I.L.
FLL1;FLL1_3;(y) [e] incluir a los estudiantes de economía;ort.;D.N.M
FLL1;FLL1_3;(suma) [resume] bien mi punto de vista sobre la globalización;sust.;D.N.M
FLL1;FLL1_4;considerado como un delito (de) [por] parte del profesor;reg.;D.N.M
FLL1;FLL1_4;puso en práctica (todas) [todos] los descubrimientos que durante años había hecho;gen.;I.L.
FLL1;FLL1_4;será (retrógrado) [destituido] del personal docente;sust.;D.N.M
ICE1;ICE1_3;enseñanza (público) [pública] universal;gen.;D.N.M
